original_variable_name,renamed_variable,variable_description,derived_variable,input_variable,data_source,broad_learning_context
Option_UH,uh_questionnaire_flag,Indicates whether a school-level optional questionnaire was completed. (Note: Not administered in Thailand),Not Applicable,Not Applicable,Not Applicable,Not Applicable
BOOKID,booklet_id,ID of the test booklet assigned to the student.,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ST001D01T,st_student_grade_level,Refers to the derived international grade level of the student.,Yes,Yes,student_questionnaire,In School
ST003D02T,st_student_birth_month,Represents the student's birth month.,Yes,Yes,student_questionnaire,Out of School
ST003D03T,st_student_birth_year,Represents the student's birth year.,Yes,Yes,student_questionnaire,Out of School
ST004D01T,st_student_gender,"Gender of the student, standardized across datasets. (1 = Female, 2 = Male)",Yes,Yes,student_questionnaire,Out of School
ST250Q01JA,st_home_room,Whether the student has a room of their own at home.,No,Yes,student_questionnaire,Out of School
ST250Q02JA,st_home_computer,"Availability of a computer (laptop, desktop, tablet) for schoolwork at home.",No,Yes,student_questionnaire,Out of School
ST250Q03JA,st_home_educational_software,Availability of educational software or apps at home.,No,Yes,student_questionnaire,Out of School
ST250Q04JA,st_home_smartphone,Student's own smartphone with internet access.,No,Yes,student_questionnaire,Out of School
ST250Q05JA,st_home_internet,Internet access at home (excluding through smartphones).,No,Yes,student_questionnaire,Out of School
ST250D06JA,st_home_smart_television,Smart television available at home.,No,Yes,student_questionnaire,Out of School
ST250D07JA,st_home_air_purifier,Air purifier available at home.,No,Yes,student_questionnaire,Out of School
ST251Q01JA,st_home_cars,"Number of cars, vans, or trucks at home.",No,Yes,student_questionnaire,Out of School
ST251Q02JA,st_home_motorcycles,Number of mopeds or motorcycles at home.,No,Yes,student_questionnaire,Out of School
ST251Q03JA,st_home_bathrooms,Number of rooms with a bath or shower.,No,Yes,student_questionnaire,Out of School
ST251Q04JA,st_home_flush_toilets,Number of rooms with a flush toilet.,No,Yes,student_questionnaire,Out of School
ST251Q06JA,st_home_musical_instruments,Number of musical instruments at home.,No,Yes,student_questionnaire,Out of School
ST251Q07JA,st_home_artworks,"Number of works of art (paintings, sculptures) at home.",No,Yes,student_questionnaire,Out of School
ST251D08JA,st_home_air_conditioner,Air conditioner available at home.,No,Yes,student_questionnaire,Out of School
ST251D09JA,st_home_refrigerator,Refrigerator available at home.,No,Yes,student_questionnaire,Out of School
ST253Q01JA,st_home_digital_devices,Number of digital devices with screens at home.,No,Yes,student_questionnaire,Out of School
ST254Q01JA,st_home_televisions,Number of televisions at home.,No,Yes,student_questionnaire,Out of School
ST254Q02JA,st_home_desktop_computers,Number of desktop computers at home.,No,Yes,student_questionnaire,Out of School
ST254Q03JA,st_home_laptops,Number of laptops or notebooks at home.,No,Yes,student_questionnaire,Out of School
ST254Q04JA,st_home_tablets,Number of tablets at home.,No,Yes,student_questionnaire,Out of School
ST254Q05JA,st_home_ebook_readers,Number of e-book readers at home.,No,Yes,student_questionnaire,Out of School
ST254Q06JA,st_home_smartphones,Number of smartphones with internet access at home.,No,Yes,student_questionnaire,Out of School
ST255Q01JA,st_home_books_total,Total number of books at home.,No,Yes,student_questionnaire,Out of School
ST256Q01JA,st_home_books_religious,Number of religious books at home.,No,Yes,student_questionnaire,Out of School
ST256Q02JA,st_home_books_classics,Number of classical literature books at home.,No,Yes,student_questionnaire,Out of School
ST256Q03JA,st_home_books_contemporary,Number of contemporary literature books at home.,No,Yes,student_questionnaire,Out of School
ST256Q06JA,st_home_books_science,Number of science books at home.,No,Yes,student_questionnaire,Out of School
ST256Q07JA,st_home_books_art_music,"Number of books on art, music, or design at home.",No,Yes,student_questionnaire,Out of School
ST256Q08JA,st_home_books_technical,Number of technical reference books at home.,No,Yes,student_questionnaire,Out of School
ST256Q09JA,st_home_books_dictionaries,Number of dictionaries at home.,No,Yes,student_questionnaire,Out of School
ST256Q10JA,st_home_books_school,Number of books to help with schoolwork at home.,No,Yes,student_questionnaire,Out of School
ST230Q01JA,st_siblings_total,Total number of siblings (including step-siblings).,No,No,student_questionnaire,Out of School
ST005Q01JA,st_mother_highest_education,Highest level of schooling completed by the student's mother.,No,Yes,student_questionnaire,Out of School
ST006Q01JA,st_mother_qualification_8,Whether the mother has a qualification at ISCED level 8.,No,Yes,student_questionnaire,Out of School
ST006Q02JA,st_mother_qualification_7,Whether the mother has a qualification at ISCED level 7.,No,Yes,student_questionnaire,Out of School
ST006Q03JA,st_mother_qualification_6,Whether the mother has a qualification at ISCED level 6.,No,Yes,student_questionnaire,Out of School
ST006Q04JA,st_mother_qualification_5,Whether the mother has a qualification at ISCED level 5.,No,Yes,student_questionnaire,Out of School
ST006Q05JA,st_mother_qualification_4,Whether the mother has a qualification at ISCED level 4.,No,No,student_questionnaire,Out of School
ST007Q01JA,st_father_highest_education,Highest level of schooling completed by the student's father.,No,Yes,student_questionnaire,Out of School
ST008Q01JA,st_father_qualification_8,Whether the father has a qualification at ISCED level 8.,No,Yes,student_questionnaire,Out of School
ST008Q02JA,st_father_qualification_7,Whether the father has a qualification at ISCED level 7.,No,Yes,student_questionnaire,Out of School
ST008Q03JA,st_father_qualification_6,Whether the father has a qualification at ISCED level 6.,No,Yes,student_questionnaire,Out of School
ST008Q04JA,st_father_qualification_5,Whether the father has a qualification at ISCED level 5.,No,Yes,student_questionnaire,Out of School
ST008Q05JA,st_father_qualification_4,Whether the father has a qualification at ISCED level 4.,No,No,student_questionnaire,Out of School
ST258Q01JA,st_family_food_insecurity,Frequency of not eating due to lack of money in the past 30 days.,No,No,student_questionnaire,Out of School
ST259Q01JA,st_family_social_status_now,Perceived family social status at the current time.,No,No,student_questionnaire,Out of School
ST259Q02JA,st_family_social_status_future,Perceived family social status when the student is 30 years old.,No,No,student_questionnaire,Out of School
ST019AQ01T,st_student_birth_country,Country where the student was born.,No,Yes,student_questionnaire,Out of School
ST019BQ01T,st_mother_birth_country,Country where the student's mother was born.,No,Yes,student_questionnaire,Out of School
ST019CQ01T,st_father_birth_country,Country where the student's father was born.,No,Yes,student_questionnaire,Out of School
ST021Q01TA,st_student_arrival_age,Age of the student upon arriving in the test country.,No,No,student_questionnaire,Out of School
ST022Q01TA,st_home_language,Language spoken most often at home.,No,Yes,student_questionnaire,Out of School
ST226Q01JA,st_school_enrollment_duration,Duration (in years) the student has been enrolled at the school.,No,No,student_questionnaire,In School
ST125Q01NA,st_start_age_early_education,Age the student started ISCED level 0 (early childhood education).,No,Yes,student_questionnaire,In School
ST126Q01TA,st_start_age_primary_education,Age the student started ISCED level 1 (primary education).,No,Yes,student_questionnaire,In School
ST127Q01TA,st_repeated_grade_primary,Indicates if the student repeated a grade at ISCED level 1 (primary education).,No,Yes,student_questionnaire,In School
ST127Q02TA,st_repeated_grade_lower_secondary,Indicates if the student repeated a grade at ISCED level 2 (lower secondary education).,No,Yes,student_questionnaire,In School
ST127Q03TA,st_repeated_grade_upper_secondary,Indicates if the student repeated a grade at ISCED level 3 (upper secondary education).,No,Yes,student_questionnaire,In School
ST260Q01JA,st_missed_school_primary,Indicates if the student missed school for 3+ months at ISCED level 1.,No,Yes,student_questionnaire,In School
ST260Q02JA,st_missed_school_lower_secondary,Indicates if the student missed school for 3+ months at ISCED level 2.,No,Yes,student_questionnaire,In School
ST260Q03JA,st_missed_school_upper_secondary,Indicates if the student missed school for 3+ months at ISCED level 3.,No,Yes,student_questionnaire,In School
ST261Q01JA,st_reason_school_missed_bored,Reason for missing school: boredom.,No,No,student_questionnaire,In School
ST261Q02JA,st_reason_school_missed_suspended,Reason for missing school: suspension for misconduct.,No,No,student_questionnaire,In School
ST261Q03JA,st_reason_school_missed_pregnant,Reason for missing school: pregnancy.,No,No,student_questionnaire,Out of School
ST261Q04JA,st_reason_school_missed_transport,Reason for missing school: transportation issues.,No,No,student_questionnaire,Out of School
ST261Q05JA,st_reason_school_missed_family_care,Reason for missing school: caregiving responsibilities.,No,No,student_questionnaire,Out of School
ST261Q06JA,st_reason_school_missed_family_work,Reason for missing school: work at home or family business.,No,No,student_questionnaire,Out of School
ST261Q07JA,st_reason_school_missed_earning,Reason for missing school: earning money for the family.,No,No,student_questionnaire,Out of School
ST261Q08JA,st_reason_school_missed_sick,Reason for missing school: illness.,No,No,student_questionnaire,Out of School
ST261Q09JA,st_reason_school_missed_safety,Reason for missing school: safety concerns at school.,No,No,student_questionnaire,In School
ST261Q10JA,st_reason_school_missed_fees,Reason for missing school: inability to pay school fees.,No,No,student_questionnaire,Out of School
ST261Q11JA,st_reason_school_missed_disaster,"Reason for missing school: natural disasters (e.g., floods).",No,No,student_questionnaire,Out of School
ST062Q01TA,st_skipped_whole_day,Frequency of skipping a whole school day in the past two weeks.,No,Yes,student_questionnaire,In School
ST062Q02TA,st_skipped_classes,Frequency of skipping specific classes in the past two weeks.,No,Yes,student_questionnaire,In School
ST062Q03TA,st_late_for_school,Frequency of arriving late for school in the past two weeks.,No,Yes,student_questionnaire,In and Out
ST267Q01JA,st_teacher_respectful,Agreement: teachers are respectful towards students.,No,Yes,student_questionnaire,In School
ST267Q02JA,st_teacher_concerned,Agreement: teachers are concerned about students' well-being.,No,Yes,student_questionnaire,In School
ST267Q03JA,st_teacher_receptive,Agreement: teachers would welcome students visiting years later.,No,Yes,student_questionnaire,In School
ST267Q04JA,st_teacher_intimidating,Agreement: teachers are intimidating.,No,Yes,student_questionnaire,In School
ST267Q05JA,st_teacher_inquisitive,Agreement: teachers are genuinely interested in students' well-being.,No,Yes,student_questionnaire,In School
ST267Q06JA,st_teacher_friendly,Agreement: teachers are friendly towards students.,No,Yes,student_questionnaire,In School
ST267Q07JA,st_teacher_wellbeing_interest,Agreement: teachers are interested in students' well-being.,No,Yes,student_questionnaire,In School
ST267Q08JA,st_teacher_mean,Agreement: teachers are mean towards students.,No,Yes,student_questionnaire,In School
ST034Q01TA,st_student_feels_outsider,Agreement: student feels like an outsider at school.,No,Yes,student_questionnaire,In School
ST034Q02TA,st_student_makes_friends,Agreement: student finds it easy to make friends at school.,No,Yes,student_questionnaire,In School
ST034Q03TA,st_student_belongs,Agreement: student feels they belong at school.,No,Yes,student_questionnaire,In School
ST034Q04TA,st_student_feels_awkward,Agreement: student feels awkward or out of place at school.,No,Yes,student_questionnaire,In School
ST034Q05TA,st_student_liked_by_others,Agreement: other students like the student.,No,Yes,student_questionnaire,In School
ST034Q06TA,st_student_feels_lonely,Agreement: student feels lonely at school.,No,Yes,student_questionnaire,In School
ST038Q03NA,st_excluded_by_students,Frequency: excluded by other students in the past year.,No,Yes,student_questionnaire,In School
ST038Q04NA,st_mocked_by_students,Frequency: made fun of by other students in the past year.,No,Yes,student_questionnaire,In School
ST038Q05NA,st_threatened_by_students,Frequency: threatened by other students in the past year.,No,Yes,student_questionnaire,In School
ST038Q06NA,st_belongings_destroyed,Frequency: belongings taken or destroyed by students in the past year.,No,Yes,student_questionnaire,In School
ST038Q07NA,st_physically_hurt,Frequency: physically hurt by other students in the past year.,No,Yes,student_questionnaire,In School
ST038Q08NA,st_rumors_spread,Frequency: nasty rumors spread about the student in the past year.,No,Yes,student_questionnaire,In School
ST038Q09JA,st_physical_fights_on_property,Frequency: student was in a physical fight on school property.,No,Yes,student_questionnaire,In School
ST038Q10JA,st_stayed_home_feeling_unsafe,Frequency: student stayed home due to feeling unsafe.,No,Yes,student_questionnaire,In School
ST038Q11JA,st_gave_money_threat,"In past 12 months, how often: I gave money to someone at school because they threatened me.",No,Yes,student_questionnaire,In School
ST265Q01JA,st_feel_safe_way_school,Agree/disagree: I feel safe on my way to school.,No,Yes,student_questionnaire,Out of School
ST265Q02JA,st_feel_safe_way_home,Agree/disagree: I feel safe on my way home from school.,No,Yes,student_questionnaire,Out of School
ST265Q03JA,st_feel_safe_classroom,Agree/disagree: I feel safe in my classrooms at school.,No,Yes,student_questionnaire,In School
ST265Q04JA,st_feel_safe_other_places_school,"Agree/disagree: I feel safe at other places at school (e.g., hallway, cafeteria, restroom).",No,Yes,student_questionnaire,In School
ST266Q01JA,st_vandalism_school_4weeks,Occur during past four weeks: Our school was vandalized.,No,Yes,student_questionnaire,In School
ST266Q02JA,st_witnessed_fight_4weeks,Occur during past four weeks: I witnessed a fight on school property in which someone got hurt.,No,Yes,student_questionnaire,In School
ST266Q03JA,st_saw_gangs_school_4weeks,Occur during past four weeks: I saw gangs in school.,No,Yes,student_questionnaire,In School
ST266Q04JA,st_student_threat_4weeks,Occur during past four weeks: I heard a student threaten to hurt another student.,No,Yes,student_questionnaire,In School
ST266Q05JA,st_saw_weapon_4weeks,Occur during past four weeks: I saw a student carrying a gun or knife at school.,No,Yes,student_questionnaire,In School
ST294Q01JA,st_eat_breakfast_days,How many days/week before school: Eat breakfast,No,NA,student_questionnaire,Out of School
ST294Q02JA,st_study_before_school_days,How many days/week before school: Study for school or homework,No,NA,student_questionnaire,Out of School
ST294Q03JA,st_work_household_before_school_days,How many days/week before school: Work in the household or take care of family members,No,Yes,student_questionnaire,Out of School
ST294Q04JA,st_work_for_pay_before_school_days,How many days/week before school: Work for pay,No,Yes,student_questionnaire,Out of School
ST294Q05JA,st_exercise_before_school_days,How many days/week before school: Exercise or practice a sport,No,Yes,student_questionnaire,Out of School
ST295Q01JA,st_eat_dinner_days,How many days/week after school: Eat dinner,No,NA,student_questionnaire,Out of School
ST295Q02JA,st_study_after_school_days,How many days/week after school: Study for school or homework,No,NA,student_questionnaire,Out of School
ST295Q03JA,st_work_household_after_school_days,How many days/week after school: Work in the household or take care of family members,No,Yes,student_questionnaire,Out of School
ST295Q04JA,st_work_for_pay_after_school_days,How many days/week after school: Work for pay,No,Yes,student_questionnaire,Out of School
ST295Q05JA,st_exercise_after_school_days,How many days/week after school: Exercise or practice a sport,No,Yes,student_questionnaire,Out of School
ST326Q01JA,st_digital_learning_school_hours,"This school year, how many hours/day use [digital resources] for: For learning activities at school",No,No,student_questionnaire,In School
ST326Q02JA,st_digital_learning_before_after_hours,"This school year, how many hours/day use [digital resources] for: For learning activities before and after school",No,No,student_questionnaire,Out of School
ST326Q03JA,st_digital_learning_weekend_hours,"This school year, how many hours/day use [digital resources] for: For learning activities on weekends",No,No,student_questionnaire,Out of School
ST326Q04JA,st_digital_leisure_school_hours,"This school year, how many hours/day use [digital resources] for: For leisure at school",No,No,student_questionnaire,In School
ST326Q05JA,st_digital_leisure_before_after_hours,"This school year, how many hours/day use [digital resources] for: For leisure before and after school",No,No,student_questionnaire,Out of School
ST326Q06JA,st_digital_leisure_weekend_hours,"This school year, how many hours/day use [digital resources] for: For leisure on weekends",No,No,student_questionnaire,Out of School
ST322Q01JA,st_notifications_off_class,How often: I turn off notifications from social networks and apps on my [digital devices] during class.,No,No,student_questionnaire,In School
ST322Q02JA,st_notifications_off_sleep,How often: I turn off notifications from social networks and apps on my [digital devices] when I go to sleep.,No,No,student_questionnaire,Out of School
ST322Q03JA,st_device_near_home,How often: I keep my [digital device] near me to answer messages when I am home.,No,No,student_questionnaire,Out of School
ST322Q04JA,st_device_open_class,How often: I have my [digital device] open in class so I can take notes or search for information.,No,No,student_questionnaire,In School
ST322Q06JA,st_pressure_online_class,How often: I feel pressured to be online and answer messages when I am in class.,No,No,student_questionnaire,In School
ST322Q07JA,st_anxious_no_device,How often: I feel nervous/anxious when I don't have my [digital device] near me.,No,No,student_questionnaire,In and Out
ST307Q01JA,st_persistence_task_finished,Agree/disagree: I keep working on a task until it is finished.,No,Yes,student_questionnaire,In and Out
ST307Q02JA,st_extra_effort_challenging,Agree/disagree: I apply additional effort when work becomes challenging.,No,Yes,student_questionnaire,In and Out
ST307Q03JA,st_persistence_boring_task,Agree/disagree: I finish tasks that I started even when they become boring.,No,Yes,student_questionnaire,In and Out
ST307Q04JA,st_stop_difficult_task,Agree/disagree: I stop when work becomes too difficult.,No,Yes,student_questionnaire,In and Out
ST307Q05JA,st_more_persistent_than_others,Agree/disagree: I am more persistent than most people I know.,No,Yes,student_questionnaire,In and Out
ST307Q06JA,st_give_up_after_mistakes,Agree/disagree: I give up after making mistakes.,No,Yes,student_questionnaire,In and Out
ST307Q07JA,st_quit_long_homework,Agree/disagree: I quit doing homework if it is too long.,No,Yes,student_questionnaire,Out of School
ST307Q08JA,st_persistence_difficult_task,Agree/disagree: I complete tasks even when they become more difficult than I thought.,No,Yes,student_questionnaire,In and Out
ST307Q09JA,st_finish_what_start,Agree/disagree: I finish what I start.,No,Yes,student_questionnaire,In and Out
ST307Q10JA,st_give_up_easily,Agree/disagree: I give up easily.,No,Yes,student_questionnaire,In and Out
ST309Q01JA,st_careful_with_words,Agree/disagree: I am careful with what I say to others.,No,No,student_questionnaire,In and Out
ST309Q02JA,st_easily_distracted,Agree/disagree: I get easily distracted.,No,No,student_questionnaire,In and Out
ST309Q03JA,st_say_first_thing,Agree/disagree: I say the first thing that comes to my mind.,No,No,student_questionnaire,In and Out
ST309Q04JA,st_avoid_mistakes,Agree/disagree: I like to make sure there are no mistakes.,No,No,student_questionnaire,In and Out
ST309Q05JA,st_check_homework_before_turning_in,Agree/disagree: I carefully check homework before turning it in.,No,No,student_questionnaire,Out of School
ST309Q06JA,st_think_before_acting,Agree/disagree: I stop to think before acting.,No,No,student_questionnaire,In and Out
ST309Q07JA,st_rush_into_activities,Agree/disagree: I rush into activities without thinking.,No,No,student_questionnaire,In and Out
ST309Q08JA,st_wait_turn_to_speak,Agree/disagree: I wait for my turn to speak in class.,No,No,student_questionnaire,In School
ST309Q09JA,st_impulsive_more_than_others,Agree/disagree: I am more impulsive than most people I know.,No,No,student_questionnaire,In and Out
ST309Q10JA,st_think_carefully_before_acting,Agree/disagree: I think carefully before doing something.,No,No,student_questionnaire,In and Out
ST301Q01JA,st_curious_about_many_things,Agree/disagree: I am curious about many different things.,No,Yes,student_questionnaire,In and Out
ST301Q02JA,st_like_to_ask_questions,Agree/disagree: I like to ask questions.,No,Yes,student_questionnaire,In and Out
ST301Q03JA,st_frustrated_learning_details,Agree/disagree: I get frustrated when I have to learn the details of a topic.,No,Yes,student_questionnaire,In and Out
ST301Q04JA,st_like_to_know_how_things_work,Agree/disagree: I like to know how things work.,No,Yes,student_questionnaire,In and Out
ST301Q05JA,st_love_learning_new_things_school,Agree/disagree: I love learning new things in school.,No,Yes,student_questionnaire,In School
ST301Q06JA,st_more_curious_than_others,Agree/disagree: I am more curious than most people I know.,No,Yes,student_questionnaire,In and Out
ST301Q07JA,st_develop_hypotheses_check_observations,Agree/disagree: I like to develop hypotheses and check them based on what I observe.,No,Yes,student_questionnaire,In and Out
ST301Q08JA,st_find_learning_new_things_boring,Agree/disagree: I find learning new things to be boring.,No,Yes,student_questionnaire,In and Out
ST301Q09JA,st_spend_time_finding_info_interest,Agree/disagree: I spend time to find more information about things that interest me.,No,Yes,student_questionnaire,In and Out
ST301Q10JA,st_like_learning_new_things,Agree/disagree: I like learning new things.,No,Yes,student_questionnaire,In and Out
ST343Q01JA,st_like_to_help_others,Agree/disagree: I like to help others.,No,Yes,student_questionnaire,In and Out
ST343Q02JA,st_annoyed_compromise_with_others,Agree/disagree: I get annoyed when I have to compromise with others.,No,Yes,student_questionnaire,In and Out
ST343Q03JA,st_work_well_with_others,Agree/disagree: I work well with other people.,No,Yes,student_questionnaire,In and Out
ST343Q04JA,st_start_arguments_with_others,Agree/disagree: I start arguments with others.,No,Yes,student_questionnaire,In and Out
ST343Q05JA,st_avoid_working_together_students,Agree/disagree: I avoid working together with other students.,No,Yes,student_questionnaire,In School
ST343Q06JA,st_ready_to_help_anybody,Agree/disagree: I am ready to help anybody.,No,Yes,student_questionnaire,In and Out
ST343Q07JA,st_tend_to_be_selfish,Agree/disagree: I tend to be selfish.,No,Yes,student_questionnaire,In and Out
ST343Q08JA,st_work_better_in_team,Agree/disagree: I work better when I am part of a team.,No,Yes,student_questionnaire,In School
ST343Q09JA,st_enjoy_cooperating_classmates,Agree/disagree: I enjoy cooperating with my classmates.,No,Yes,student_questionnaire,In School
ST343Q10JA,st_argue_a_lot,Agree/disagree: I argue a lot.,No,Yes,student_questionnaire,In and Out
ST311Q01JA,st_dont_care_what_happens_to_others,Agree/disagree: I do not care what happens to other people.,No,Yes,student_questionnaire,In and Out
ST311Q02JA,st_can_sense_how_others_feel,Agree/disagree: I can sense how others feel.,No,Yes,student_questionnaire,In and Out
ST311Q03JA,st_friends_wellbeing_important,Agree/disagree: It is important to me that my friends are okay.,No,Yes,student_questionnaire,In and Out
ST311Q04JA,st_see_friends_perspectives,Agree/disagree: I can see situations from my friends' perspectives.,No,Yes,student_questionnaire,In and Out
ST311Q05JA,st_ignore_feelings_of_others,Agree/disagree: I ignore the feelings of others.,No,Yes,student_questionnaire,In and Out
ST311Q06JA,st_more_compassionate_than_others,Agree/disagree: I am more compassionate than most people I know.,No,Yes,student_questionnaire,In and Out
ST311Q07JA,st_difficult_sense_what_others_think,Agree/disagree: It is difficult for me to sense what others think.,No,Yes,student_questionnaire,In and Out
ST311Q08JA,st_predict_needs_of_others,Agree/disagree: I predict the needs of others.,No,Yes,student_questionnaire,In and Out
ST311Q09JA,st_upset_bad_things_happen_others,Agree/disagree: I get upset if bad things happen to other people.,No,Yes,student_questionnaire,In and Out
ST311Q10JA,st_understand_what_others_want,Agree/disagree: I understand what others want.,No,Yes,student_questionnaire,In and Out
ST315Q01JA,st_suspicious_of_others_intentions,Agree/disagree: I am suspicious of others' intentions.,No,No,student_questionnaire,In and Out
ST315Q02JA,st_classmates_keep_promises,Agree/disagree: I think most of my classmates keep their promises.,No,No,student_questionnaire,In School
ST315Q03JA,st_believe_most_people_honest,Agree/disagree: I believe that most people are honest.,No,No,student_questionnaire,In and Out
ST315Q04JA,st_friends_can_keep_secrets,Agree/disagree: I believe that my friends can keep my secrets.,No,No,student_questionnaire,In and Out
ST315Q05JA,st_think_most_people_selfish,Agree/disagree: I think most people are selfish.,No,No,student_questionnaire,In and Out
ST315Q06JA,st_trust_what_people_say,Agree/disagree: I trust what people say.,No,No,student_questionnaire,In and Out
ST315Q07JA,st_others_try_to_harm_me,Agree/disagree: I think others will try to harm me.,No,No,student_questionnaire,In and Out
ST315Q08JA,st_more_trusting_than_others,Agree/disagree: I am more trusting with others than most people I know.,No,No,student_questionnaire,In and Out
ST315Q09JA,st_believe_most_people_kind,Agree/disagree: I believe most people are kind.,No,No,student_questionnaire,In and Out
ST315Q10JA,st_willing_to_forgive_wrongdoers,Agree/disagree: I am willing to forgive those who have done wrong.,No,No,student_questionnaire,In and Out
ST303Q01JA,st_consider_all_perspectives,Agree/disagree: I try to consider everybody's perspective before I take a position.,No,No,student_questionnaire,In and Out
ST303Q02JA,st_understand_classmates_thinking,Agree/disagree: I want to understand my classmates' ways of thinking.,No,No,student_questionnaire,In School
ST303Q03JA,st_view_things_different_angles,Agree/disagree: I can view almost all things from different angles.,No,No,student_questionnaire,In and Out
ST303Q04JA,st_imagine_others_feelings,Agree/disagree: I imagine how I would feel if I were in somebody else's place.,No,No,student_questionnaire,In and Out
ST303Q05JA,st_only_one_correct_position,Agree/disagree: I think there is only one correct position in a disagreement.,No,No,student_questionnaire,In and Out
ST303Q06JA,st_understand_why_people_behave,Agree/disagree: I want to understand why people behave the way they do.,No,No,student_questionnaire,In and Out
ST303Q07JA,st_difficult_anticipate_thoughts_others,Agree/disagree: I find it difficult to anticipate what other people think.,No,No,student_questionnaire,In and Out
ST303Q08JA,st_envision_friends_points_of_view,Agree/disagree: I try to envision how things look from my friends' points of view.,No,No,student_questionnaire,In and Out
ST305Q01JA,st_comfortable_taking_lead,Agree/disagree: I am comfortable with taking the lead role in a group.,No,Yes,student_questionnaire,In and Out
ST305Q02JA,st_know_how_to_convince,Agree/disagree: I know how to convince others to do what I want.,No,Yes,student_questionnaire,In and Out
ST305Q03JA,st_enjoy_leading_others,Agree/disagree: I enjoy leading others.,No,Yes,student_questionnaire,In and Out
ST305Q04JA,st_keep_opinion_to_self,Agree/disagree: I keep my opinion to myself in group discussions.,No,Yes,student_questionnaire,In and Out
ST305Q05JA,st_speak_up_about_important_things,Agree/disagree: I speak up to others about things that matter to me.,No,Yes,student_questionnaire,In and Out
ST305Q06JA,st_take_initiative_with_classmates,Agree/disagree: I take initiative when working with my classmates.,No,Yes,student_questionnaire,In School
ST305Q07JA,st_wait_for_others_to_lead,Agree/disagree: I wait for others to take a lead.,No,Yes,student_questionnaire,In and Out
ST305Q08JA,st_find_hard_to_influence,Agree/disagree: I find it hard to influence people.,No,Yes,student_questionnaire,In and Out
ST305Q09JA,st_want_to_be_in_charge,Agree/disagree: I want to be in charge.,No,Yes,student_questionnaire,In and Out
ST305Q10JA,st_like_to_be_class_leader,Agree/disagree: I like to be a leader in my class.,No,Yes,student_questionnaire,In School
ST345Q01JA,st_get_nervous_easily,Agree/disagree: I get nervous easily.,No,Yes,student_questionnaire,In and Out
ST345Q02JA,st_more_relaxed_than_others,Agree/disagree: I am more relaxed than most people I know.,No,Yes,student_questionnaire,In and Out
ST345Q03JA,st_worry_about_many_things,Agree/disagree: I worry about many things.,No,Yes,student_questionnaire,In and Out
ST345Q04JA,st_panic_easily,Agree/disagree: I panic easily.,No,Yes,student_questionnaire,In and Out
ST345Q05JA,st_able_to_work_under_pressure,Agree/disagree: I am able to work under pressure.,No,Yes,student_questionnaire,In and Out
ST345Q06JA,st_remain_calm_under_stress,Agree/disagree: I remain calm under stress.,No,Yes,student_questionnaire,In and Out
ST345Q07JA,st_nervous_about_exams,Agree/disagree: I feel nervous about approaching exams.,No,Yes,student_questionnaire,In and Out
ST345Q08JA,st_recover_quickly_after_bad_event,Agree/disagree: I can recover quickly after something bad has happened.,No,Yes,student_questionnaire,In and Out
ST345Q09JA,st_handle_stress_well,Agree/disagree: I handle stress well.,No,Yes,student_questionnaire,In and Out
ST345Q10JA,st_afraid_of_many_things,Agree/disagree: I am afraid of many things.,No,Yes,student_questionnaire,In and Out
ST313Q01JA,st_keep_emotions_under_control,Agree/disagree: I keep my emotions under control.,No,Yes,student_questionnaire,In and Out
